time,open_price,high_price,low_price,close_price,volume,vector_color,lowest_low,symbol,interval,ema_5,ema_13,ema_50,ema_100,ema_200,ema_800,Kerze,lower_low,lower_low_start,lower_low_ende,w1,w_middle,w2
1705848300000,41803.65,41826.7,41786.18,41787.5,132.32762,darkgrey,,BTCUSDT,15m,41802.66497255827,41791.86972752871,41724.59210226242,41687.634368180334,41662.06372507089,41638.70982382577,Rot,,,,,,
1705849200000,41787.49,41860.0,41787.49,41825.04,150.24107,lightgrey,,BTCUSDT,15m,41810.12331503885,41796.60833788176,41728.531235507035,41690.35527178072,41663.685379547795,41639.175067711345,Grün,,,,,,
1705850100000,41825.04,41834.0,41729.3,41736.53,251.95197,violet,,BTCUSDT,15m,41785.592210025905,41788.02571818436,41728.84491254598,41691.26962283457,41664.41020164185,41639.41815118772,Rot,,AA,,,,
1705851000000,41736.53,41750.0,41618.02,41626.36,324.35844,red,,BTCUSDT,15m,41732.51480668394,41764.9306155866,41724.82589636771,41689.984283768536,41664.03159267029,41639.38554656552,Rot,,,,,,
1705851900000,41626.35,41700.0,41605.0,41656.28,251.88164,lightgrey,,BTCUSDT,15m,41707.10320445596,41749.409099074226,41722.137822000346,41689.316872208765,41663.95446239496,41639.42772996985,Grün,,,,,,
1705852800000,41656.27,41673.06,41591.1,41627.76,246.11415,darkgrey,,BTCUSDT,15m,41680.65546963731,41732.030656349336,41718.43673094151,41688.09792424423,41663.59431849053,41639.39859706107,Rot,,AA,,,,
1705853700000,41627.76,41627.76,41566.84,41573.96,181.54964,darkgrey,,BTCUSDT,15m,41645.09031309155,41709.44913401372,41712.770976786946,41685.83776732851,41662.70243472446,41639.23520480873,Rot,,,,,,
1705854600000,41573.97,41639.72,41525.0,41628.0,205.26343,lightgrey,,BTCUSDT,15m,41639.393542061036,41697.81354344034,41709.446624756085,41684.692465005166,41662.35713686651,41639.20715186289,Grün,LL,,,w1,,
1705855500000,41628.0,41656.25,41589.05,41607.18,158.26563,darkgrey,,BTCUSDT,15m,41628.65569470736,41684.865894377435,41705.436168883294,41683.15756470803,41661.808110629034,41639.12718394313,Rot,,,,,,
1705856400000,41607.18,41669.53,41599.39,41651.8,133.81573,lightgrey,,BTCUSDT,15m,41636.37046313824,41680.142195180655,41703.3327897114,41682.53662283263,41661.7085274387,41639.15882643016,Grün,,,,,,
1705857300000,41651.8,41684.26,41639.88,41684.25,146.06643,lightgrey,,BTCUSDT,15m,41652.33030875883,41680.72902444056,41702.58444501684,41682.57055109337,41661.93282069802,41639.271413630086,Grün,,,EE,,,
1705858200000,41684.26,41690.0,41652.67,41652.68,98.21161,darkgrey,,BTCUSDT,15m,41652.44687250588,41676.72202094905,41700.62740795735,41681.978658992506,41661.84075283038,41639.30489324649,Rot,,,,,,
1705859100000,41652.68,41695.07,41652.67,41678.0,103.5775,lightgrey,,BTCUSDT,15m,41660.96458167059,41676.9045893849,41699.74005862569,41681.89987366592,41662.00154135944,41639.401510242125,Grün,,,,,,
1705860000000,41677.99,41678.0,41627.0,41655.0,89.8699,darkgrey,,BTCUSDT,15m,41658.97638778039,41673.775362329914,41697.98554652272,41681.367202900256,41661.93187428123,41639.44045778209,Rot,,,,,,
1705860900000,41655.0,41729.77,41651.04,41709.18,196.92836,lightgrey,,BTCUSDT,15m,41675.71092518693,41678.83316771136,41698.424544698304,41681.917951357675,41662.4020048854,41639.61458897364,Grün,,,,,,
1705861800000,41709.17,41715.0,41683.71,41688.97,118.28303,darkgrey,,BTCUSDT,15m,41680.13061679129,41680.281286609745,41698.05377823955,41682.05759588525,41662.66636304575,41639.737823458105,Rot,,AA,,,,
1705862700000,41688.96,41688.97,41668.0,41681.09,62.65356,darkgrey,,BTCUSDT,15m,41680.45041119419,41680.39681709407,41697.38853203408,41682.038435570685,41662.849682816435,41639.84107483523,Rot,,,,,,
1705863600000,41681.09,41681.1,41635.25,41649.99,115.48461,darkgrey,,BTCUSDT,15m,41670.296940796135,41676.052986080635,41695.52976607196,41681.403813084136,41662.72172577348,41639.866415472345,Rot,LL,,,w1,,
1705864500000,41649.99,41698.21,41649.99,41659.59,82.06183,lightgrey,,BTCUSDT,15m,41666.727960530756,41673.70113092626,41694.120363480906,41680.9718563894,41662.690564323,41639.91566287441,Grün,,,,,,
1705865400000,41659.58,41695.75,41659.58,41695.74,42.66537,lightgrey,,BTCUSDT,15m,41676.398640353844,41676.84954079393,41694.18387863852,41681.26429487673,41663.01941442924,41640.05504948396,Grün,,,EE,,,
